scope,author_a,author_b,vocab_a,vocab_b,intersection,union,jaccard
All,Agent Phage,Etinjat,35706,37476,1370,71812,0.01907759148888765
All,Agent Phage,QBLevi,35706,37837,1462,72081,0.020282737475895173
All,Agent Phage,Re_spectators,35706,29953,1928,63731,0.030252153583028667
All,Agent Phage,breaddddd,35706,29906,2033,63579,0.031975966907312164
All,Etinjat,QBLevi,37476,37837,1107,74206,0.014917931164595855
All,Etinjat,Re_spectators,37476,29953,1472,65957,0.022317570538381067
All,Etinjat,breaddddd,37476,29906,1539,65843,0.023373783090077913
All,QBLevi,Re_spectators,37837,29953,1499,66291,0.022612420992291563
All,QBLevi,breaddddd,37837,29906,1532,66211,0.023138149250124602
All,Re_spectators,breaddddd,29953,29906,2260,57599,0.03923679230542197
Fit,Agent Phage,Etinjat,25743,27331,915,52159,0.01754251423531893
Fit,Agent Phage,QBLevi,25743,27309,1002,52050,0.019250720461095102
Fit,Agent Phage,Re_spectators,25743,21530,1239,46034,0.026914888995090584
Fit,Agent Phage,breaddddd,25743,21918,1367,46294,0.02952866462176524
Fit,Etinjat,QBLevi,27331,27309,737,53903,0.013672708383577908
Fit,Etinjat,Re_spectators,27331,21530,939,47922,0.019594340803806187
Fit,Etinjat,breaddddd,27331,21918,1006,48243,0.020852766204423438
Fit,QBLevi,Re_spectators,27309,21530,991,47848,0.020711419495067714
Fit,QBLevi,breaddddd,27309,21918,1096,48131,0.022771186968897385
Fit,Re_spectators,breaddddd,21530,21918,1350,42098,0.03206803173547437
Validation,Agent Phage,Etinjat,3687,3832,74,7445,0.009939556749496306
Validation,Agent Phage,QBLevi,3687,3781,106,7362,0.014398261342026623
Validation,Agent Phage,Re_spectators,3687,3265,157,6795,0.02310522442972774
Validation,Agent Phage,breaddddd,3687,3285,167,6805,0.024540778839088905
Validation,Etinjat,QBLevi,3832,3781,57,7556,0.007543673901535204
Validation,Etinjat,Re_spectators,3832,3265,86,7011,0.012266438453858223
Validation,Etinjat,breaddddd,3832,3285,86,7031,0.012231546010524818
Validation,QBLevi,Re_spectators,3781,3265,134,6912,0.019386574074074073
Validation,QBLevi,breaddddd,3781,3285,115,6951,0.01654438210329449
Validation,Re_spectators,breaddddd,3265,3285,193,6357,0.030360232814220543
Test,Agent Phage,Etinjat,7227,6994,254,13967,0.01818572349108613
Test,Agent Phage,QBLevi,7227,7472,217,14482,0.01498411821571606
Test,Agent Phage,Re_spectators,7227,6147,357,13017,0.027425674118460475
Test,Agent Phage,breaddddd,7227,6208,383,13052,0.029344161814281337
Test,Etinjat,QBLevi,6994,7472,175,14291,0.01224546917640473
Test,Etinjat,Re_spectators,6994,6147,229,12912,0.01773543990086741
Test,Etinjat,breaddddd,6994,6208,321,12881,0.02492042543280801
Test,QBLevi,Re_spectators,7472,6147,219,13400,0.016343283582089554
Test,QBLevi,breaddddd,7472,6208,243,13437,0.01808439383791025
Test,Re_spectators,breaddddd,6147,6208,497,11858,0.04191263282172373
