author,scope,rank,target,count,share
Agent Phage,All,1,的,570,0.013571428571428571
Agent Phage,All,2,了,168,0.004
Agent Phage,All,3,在,126,0.003
Agent Phage,All,4,是,95,0.002261904761904762
Agent Phage,All,5,我,91,0.0021666666666666666
Agent Phage,All,6,你,88,0.0020952380952380953
Agent Phage,All,7,与,56,0.0013333333333333333
Agent Phage,All,8,被,55,0.0013095238095238095
Agent Phage,All,9,也,49,0.0011666666666666668
Agent Phage,All,10,对,48,0.001142857142857143
Agent Phage,All,11,我们,48,0.001142857142857143
Agent Phage,All,12,这,47,0.0011190476190476191
Agent Phage,All,13,有,43,0.0010238095238095238
Agent Phage,All,14,她,40,0.0009523809523809524
Agent Phage,All,15,就,36,0.0008571428571428571
Agent Phage,All,16,将,35,0.0008333333333333334
Agent Phage,All,17,着,34,0.0008095238095238096
Agent Phage,All,18,不,33,0.0007857142857142857
Agent Phage,All,19,没有,32,0.0007619047619047619
Agent Phage,All,20,会,31,0.0007380952380952381
Agent Phage,All,21,他们,29,0.0006904761904761905
Agent Phage,All,22,但,29,0.0006904761904761905
Agent Phage,All,23,异常,29,0.0006904761904761905
Agent Phage,All,24,而,29,0.0006904761904761905
Agent Phage,All,25,自己,29,0.0006904761904761905
Agent Phage,All,26,都,29,0.0006904761904761905
Agent Phage,All,27,上,28,0.0006666666666666666
Agent Phage,All,28,什么,28,0.0006666666666666666
Agent Phage,All,29,说,27,0.0006428571428571428
Agent Phage,All,30,并,26,0.000619047619047619
Agent Phage,All,31,相关,26,0.000619047619047619
Agent Phage,All,32,进行,26,0.000619047619047619
Agent Phage,All,33,那,26,0.000619047619047619
Agent Phage,All,34,一个,24,0.0005714285714285715
Agent Phage,All,35,到,24,0.0005714285714285715
Agent Phage,All,36,实体,24,0.0005714285714285715
Agent Phage,All,37,收容,24,0.0005714285714285715
Agent Phage,All,38,这个,24,0.0005714285714285715
Agent Phage,All,39,可能,23,0.0005476190476190477
Agent Phage,All,40,后,23,0.0005476190476190477
Agent Phage,All,41,该,23,0.0005476190476190477
Agent Phage,All,42,人,22,0.0005238095238095238
Agent Phage,All,43,啊,22,0.0005238095238095238
Agent Phage,All,44,把,22,0.0005238095238095238
Agent Phage,All,45,其,21,0.0005
Agent Phage,All,46,基金会,21,0.0005
Agent Phage,All,47,项目,21,0.0005
Agent Phage,All,48,不是,20,0.0004761904761904762
Agent Phage,All,49,他,20,0.0004761904761904762
Agent Phage,All,50,就是,20,0.0004761904761904762
Agent Phage,All,51,没,20,0.0004761904761904762
Agent Phage,All,52,能,20,0.0004761904761904762
Agent Phage,All,53,人员,19,0.00045238095238095237
Agent Phage,All,54,很,19,0.00045238095238095237
Agent Phage,All,55,您,19,0.00045238095238095237
Agent Phage,All,56,掩盖,19,0.00045238095238095237
Agent Phage,All,57,下,18,0.00042857142857142855
Agent Phage,All,58,和,18,0.00042857142857142855
Agent Phage,All,59,最终,18,0.00042857142857142855
Agent Phage,All,60,可以,17,0.0004047619047619048
Agent Phage,All,61,吗,17,0.0004047619047619048
Agent Phage,All,62,一,16,0.00038095238095238096
Agent Phage,All,63,为,16,0.00038095238095238096
Agent Phage,All,64,如果,16,0.00038095238095238096
Agent Phage,All,65,情况,16,0.00038095238095238096
Agent Phage,All,66,还,16,0.00038095238095238096
Agent Phage,All,67,这些,16,0.00038095238095238096
Agent Phage,All,68,从,15,0.00035714285714285714
Agent Phage,All,69,以及,15,0.00035714285714285714
Agent Phage,All,70,出现,15,0.00035714285714285714
Agent Phage,All,71,吧,15,0.00035714285714285714
Agent Phage,All,72,好,15,0.00035714285714285714
Agent Phage,All,73,完全,15,0.00035714285714285714
Agent Phage,All,74,时,15,0.00035714285714285714
Agent Phage,All,75,真的,15,0.00035714285714285714
Agent Phage,All,76,也是,14,0.0003333333333333333
Agent Phage,All,77,于,14,0.0003333333333333333
Agent Phage,All,78,你们,14,0.0003333333333333333
Agent Phage,All,79,发现,14,0.0003333333333333333
Agent Phage,All,80,已经,14,0.0003333333333333333
Agent Phage,All,81,开始,14,0.0003333333333333333
Agent Phage,All,82,当时,14,0.0003333333333333333
Agent Phage,All,83,怎么,14,0.0003333333333333333
Agent Phage,All,84,所,14,0.0003333333333333333
Agent Phage,All,85,时间,14,0.0003333333333333333
Agent Phage,All,86,的人,14,0.0003333333333333333
Agent Phage,All,87,让,14,0.0003333333333333333
Agent Phage,All,88,这样,14,0.0003333333333333333
Agent Phage,All,89,里,14,0.0003333333333333333
Agent Phage,All,90,需要,14,0.0003333333333333333
Agent Phage,All,91,以,13,0.0003095238095238095
Agent Phage,All,92,又,13,0.0003095238095238095
Agent Phage,All,93,想,13,0.0003095238095238095
Agent Phage,All,94,时候,13,0.0003095238095238095
Agent Phage,All,95,这是,13,0.0003095238095238095
Agent Phage,All,96,中,12,0.00028571428571428574
Agent Phage,All,97,你的,12,0.00028571428571428574
Agent Phage,All,98,写,12,0.00028571428571428574
Agent Phage,All,99,它,12,0.00028571428571428574
Agent Phage,All,100,我的,12,0.00028571428571428574
Agent Phage,Fit,1,的,407,0.013566666666666666
