streamer_id,usable_train_responses,qualifies_2400,selected
streamer41,9884,True,True
streamer80,8253,True,True
streamer26,8121,True,True
streamer60,7969,True,True
streamer122,7869,True,True
streamer127,7441,True,True
streamer62,7393,True,True
streamer78,6972,True,True
streamer144,6775,True,True
streamer126,6520,True,True
streamer83,6472,True,True
streamer106,6231,True,True
streamer121,6146,True,True
streamer93,6145,True,True
streamer124,6005,True,True
streamer113,5995,True,True
streamer125,5992,True,True
streamer25,5819,True,True
streamer105,5658,True,True
streamer71,5637,True,True
streamer36,5596,True,True
streamer77,5518,True,True
streamer131,5470,True,True
streamer63,5443,True,True
streamer184,5328,True,True
streamer198,5323,True,True
streamer109,5289,True,True
streamer100,5272,True,True
streamer120,5175,True,True
streamer190,5103,True,True
streamer116,5051,True,True
streamer123,5016,True,True
streamer162,4940,True,True
streamer169,4875,True,True
streamer186,4797,True,True
streamer32,4737,True,True
streamer146,4717,True,True
streamer87,4684,True,True
streamer145,4624,True,True
streamer15,4619,True,True
streamer234,4609,True,True
streamer44,4578,True,True
streamer117,4512,True,True
streamer173,4477,True,True
streamer194,4412,True,True
streamer201,4392,True,True
streamer130,4374,True,True
streamer3,4348,True,True
streamer17,4339,True,True
streamer6,4323,True,True
streamer251,4307,True,True
streamer64,4245,True,True
streamer205,4219,True,True
streamer66,4173,True,True
streamer7,4092,True,True
streamer142,3966,True,True
streamer27,3931,True,True
streamer108,3871,True,True
streamer177,3828,True,True
streamer103,3825,True,True
streamer137,3810,True,True
streamer96,3798,True,True
streamer149,3766,True,True
streamer159,3762,True,True
streamer227,3721,True,True
streamer84,3717,True,True
streamer53,3713,True,True
streamer153,3712,True,True
streamer99,3696,True,True
streamer54,3606,True,True
streamer259,3597,True,True
streamer30,3592,True,True
streamer211,3555,True,True
streamer223,3555,True,True
streamer38,3521,True,True
streamer217,3494,True,True
streamer196,3492,True,True
streamer167,3416,True,True
streamer45,3409,True,True
streamer12,3384,True,True
streamer172,3379,True,True
streamer241,3378,True,True
streamer158,3363,True,True
streamer94,3351,True,True
streamer49,3341,True,True
streamer248,3327,True,True
streamer238,3320,True,True
streamer203,3313,True,True
streamer139,3312,True,True
streamer76,3267,True,True
streamer236,3261,True,True
streamer34,3203,True,True
streamer118,3197,True,True
streamer89,3169,True,True
streamer74,3159,True,True
streamer222,3150,True,True
streamer218,3122,True,True
streamer13,3107,True,True
streamer185,3101,True,True
streamer161,3044,True,True
streamer73,3041,True,False
streamer20,3025,True,False
streamer179,3018,True,False
streamer189,2991,True,False
streamer16,2964,True,False
streamer42,2959,True,False
streamer28,2955,True,False
streamer215,2940,True,False
streamer267,2940,True,False
streamer213,2919,True,False
streamer155,2916,True,False
streamer95,2878,True,False
streamer37,2854,True,False
streamer136,2846,True,False
streamer209,2845,True,False
streamer43,2843,True,False
streamer165,2840,True,False
streamer182,2839,True,False
streamer191,2831,True,False
streamer199,2827,True,False
streamer271,2826,True,False
streamer69,2802,True,False
streamer1,2784,True,False
streamer188,2752,True,False
streamer206,2748,True,False
streamer141,2734,True,False
streamer176,2726,True,False
streamer164,2723,True,False
streamer237,2723,True,False
streamer212,2722,True,False
streamer256,2718,True,False
streamer19,2716,True,False
streamer31,2699,True,False
streamer72,2688,True,False
streamer200,2679,True,False
streamer57,2679,True,False
streamer10,2674,True,False
streamer51,2646,True,False
streamer263,2644,True,False
streamer114,2632,True,False
streamer246,2609,True,False
streamer91,2596,True,False
streamer11,2578,True,False
streamer187,2577,True,False
streamer175,2560,True,False
streamer220,2550,True,False
streamer81,2520,True,False
streamer90,2516,True,False
streamer242,2513,True,False
streamer265,2511,True,False
streamer70,2477,True,False
streamer24,2467,True,False
streamer59,2457,True,False
streamer154,2426,True,False
streamer9,2401,True,False
streamer128,2388,False,False
streamer193,2387,False,False
streamer232,2366,False,False
streamer168,2305,False,False
streamer208,2304,False,False
streamer166,2280,False,False
streamer48,2269,False,False
streamer107,2260,False,False
streamer151,2184,False,False
streamer152,2172,False,False
streamer235,2162,False,False
streamer29,2156,False,False
streamer55,2144,False,False
streamer240,2132,False,False
streamer82,2123,False,False
streamer282,2113,False,False
streamer8,2106,False,False
streamer143,2102,False,False
streamer102,2083,False,False
streamer180,2074,False,False
streamer226,2068,False,False
streamer197,2056,False,False
streamer299,2054,False,False
streamer33,2028,False,False
streamer239,2024,False,False
streamer23,2023,False,False
streamer262,2015,False,False
streamer47,2010,False,False
streamer249,2009,False,False
streamer270,1996,False,False
streamer295,1984,False,False
streamer178,1977,False,False
streamer204,1963,False,False
streamer39,1957,False,False
streamer135,1945,False,False
streamer46,1931,False,False
streamer219,1925,False,False
streamer225,1901,False,False
streamer273,1901,False,False
streamer85,1897,False,False
streamer264,1881,False,False
streamer228,1869,False,False
streamer229,1849,False,False
streamer288,1830,False,False
streamer4,1818,False,False
streamer50,1804,False,False
streamer160,1784,False,False
streamer268,1778,False,False
streamer132,1773,False,False
streamer230,1752,False,False
streamer266,1737,False,False
streamer2,1736,False,False
streamer148,1704,False,False
streamer202,1700,False,False
streamer75,1690,False,False
streamer110,1680,False,False
streamer304,1666,False,False
streamer111,1651,False,False
streamer86,1643,False,False
streamer119,1628,False,False
streamer224,1627,False,False
streamer68,1619,False,False
streamer79,1578,False,False
streamer292,1574,False,False
streamer92,1560,False,False
streamer278,1539,False,False
streamer134,1537,False,False
streamer231,1535,False,False
streamer243,1523,False,False
streamer65,1496,False,False
streamer276,1482,False,False
streamer171,1455,False,False
streamer56,1435,False,False
streamer104,1431,False,False
streamer140,1421,False,False
streamer21,1405,False,False
streamer150,1382,False,False
streamer261,1363,False,False
streamer18,1356,False,False
streamer254,1343,False,False
streamer279,1324,False,False
streamer275,1294,False,False
streamer157,1286,False,False
streamer174,1257,False,False
streamer35,1250,False,False
streamer22,1237,False,False
streamer216,1235,False,False
streamer192,1230,False,False
streamer67,1194,False,False
streamer291,1177,False,False
streamer195,1150,False,False
streamer101,1143,False,False
streamer170,1138,False,False
streamer207,1121,False,False
streamer98,1111,False,False
streamer88,1108,False,False
streamer257,1101,False,False
streamer274,1088,False,False
streamer52,1086,False,False
streamer97,1069,False,False
streamer269,1062,False,False
streamer147,1027,False,False
streamer61,1027,False,False
streamer314,998,False,False
streamer311,990,False,False
streamer250,962,False,False
streamer112,961,False,False
streamer258,954,False,False
streamer181,945,False,False
streamer245,939,False,False
streamer210,933,False,False
streamer58,905,False,False
streamer183,882,False,False
streamer294,879,False,False
streamer290,862,False,False
streamer214,845,False,False
streamer286,831,False,False
streamer244,821,False,False
streamer305,808,False,False
streamer233,805,False,False
streamer40,801,False,False
streamer5,751,False,False
streamer115,744,False,False
streamer320,737,False,False
streamer129,712,False,False
streamer255,697,False,False
streamer316,692,False,False
streamer300,679,False,False
streamer280,647,False,False
streamer14,640,False,False
streamer133,588,False,False
streamer283,574,False,False
streamer332,565,False,False
streamer163,541,False,False
streamer260,537,False,False
streamer318,508,False,False
streamer301,485,False,False
streamer281,459,False,False
streamer298,457,False,False
streamer309,442,False,False
streamer329,440,False,False
streamer221,434,False,False
streamer312,434,False,False
streamer322,424,False,False
streamer252,413,False,False
streamer319,408,False,False
streamer289,389,False,False
streamer337,373,False,False
streamer297,372,False,False
streamer335,313,False,False
streamer307,312,False,False
streamer323,312,False,False
streamer277,297,False,False
streamer287,295,False,False
streamer325,282,False,False
streamer308,280,False,False
streamer296,259,False,False
streamer321,254,False,False
streamer310,252,False,False
streamer272,250,False,False
streamer285,229,False,False
streamer328,223,False,False
streamer330,217,False,False
streamer156,214,False,False
streamer303,206,False,False
streamer317,183,False,False
streamer336,182,False,False
streamer333,178,False,False
streamer306,174,False,False
streamer138,162,False,False
streamer253,156,False,False
streamer302,156,False,False
streamer247,134,False,False
streamer313,126,False,False
streamer327,111,False,False
streamer331,105,False,False
streamer324,96,False,False
streamer293,83,False,False
streamer340,75,False,False
streamer326,72,False,False
streamer315,68,False,False
streamer342,52,False,False
streamer284,42,False,False
streamer345,40,False,False
streamer334,39,False,False
streamer339,35,False,False
streamer338,28,False,False
streamer341,25,False,False
streamer343,20,False,False
streamer346,6,False,False
streamer344,4,False,False
