work_id,token_index,text,reason
da-work-87676565,796,都系𠮶条,Chinese-character/Pinyin-syllable alignment failure
da-work-87676565,797,系𠮶条衰仔,Chinese-character/Pinyin-syllable alignment failure
da-work-87676565,798,𠮶,Chinese-character/Pinyin-syllable alignment failure
da-work-789981763,2557,𠀤,Chinese-character/Pinyin-syllable alignment failure
da-work-802283032,2284,以𫎧之护之,Chinese-character/Pinyin-syllable alignment failure
da-work-802283032,2285,𫎧,Chinese-character/Pinyin-syllable alignment failure
da-work-802283032,2593,协比诸𪫺淫用,Chinese-character/Pinyin-syllable alignment failure
da-work-802283032,2594,诸𪫺淫用,Chinese-character/Pinyin-syllable alignment failure
da-work-802283032,2595,𪫺,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,1935,造攻𤠆土肆,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,1936,𤠆,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,1939,𤠆,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2084,跣我𥛠主,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2085,我𥛠主,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2086,𥛠,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2233,匄旬㞢三日,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2234,旬㞢三日,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2235,㞢,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2243,𤔌,Chinese-character/Pinyin-syllable alignment failure
da-work-986308111,57,直下黄庭观叆𪵣,Chinese-character/Pinyin-syllable alignment failure
da-work-986308111,58,黄庭观叆𪵣,Chinese-character/Pinyin-syllable alignment failure
da-work-986308111,59,叆𪵣,Chinese-character/Pinyin-syllable alignment failure
da-work-986308111,60,𪵣,Chinese-character/Pinyin-syllable alignment failure
da-work-986536790,242,固晓断肠难𣨼,Chinese-character/Pinyin-syllable alignment failure
da-work-986536790,243,断肠难𣨼酒,Chinese-character/Pinyin-syllable alignment failure
da-work-986536790,244,难𣨼酒,Chinese-character/Pinyin-syllable alignment failure
da-work-986536790,245,𣨼,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1439,孪𰰨傐凿,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1440,𰰨,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1463,齹侵扣烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1464,侵扣烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1465,扣烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1466,烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1474,沦𫐅軅蘒,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1475,𫐅,Chinese-character/Pinyin-syllable alignment failure
da-work-1165114729,136,暂醒𣨼蒙蒙,Chinese-character/Pinyin-syllable alignment failure
da-work-1165114729,137,𣨼,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,140,谁楬枯𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,141,楬枯𫄳𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,142,枯𫄳𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,143,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,144,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,704,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,705,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,3425,神蹙长𪾣,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,3426,蹙长𪾣,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,3427,长𪾣,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,3428,𪾣,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,5821,欲𪸕妖兵,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,5822,𪸕,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,5876,𤇭,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,8704,乃𪸕妄火,Chinese-character/Pinyin-syllable alignment failure
da-work-1261306531,8705,𪸕,Chinese-character/Pinyin-syllable alignment failure
da-work-1304974711,492,持真火燔𪸕乡林,Chinese-character/Pinyin-syllable alignment failure
da-work-1304974711,493,燔𪸕乡林村社,Chinese-character/Pinyin-syllable alignment failure
da-work-1304974711,494,𪸕,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1263,拂林园乌梨师𣫍,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1264,林园乌梨师𣫍城中,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1265,乌梨师𣫍城中,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1266,𣫍,Chinese-character/Pinyin-syllable alignment failure
da-work-1312367742,180,诸色皆𣨼飞沫,Chinese-character/Pinyin-syllable alignment failure
da-work-1312367742,181,皆𣨼飞沫中,Chinese-character/Pinyin-syllable alignment failure
da-work-1312367742,182,𣨼,Chinese-character/Pinyin-syllable alignment failure
