condition_id,anchor_id,author,work_id,condition,context,pinyin_input,gold,gold_rank,top10
da-v2-condition-59f4b3eb66c26bb960ad957c,da-v2-anchor-001c807068a7cd1a5ef1e026,Re_spectators,da-work-1310969119,initial_short,"成像结果表明SCP-CN-2255的中心可能为一只水生生物。然而，当任何探测器靠近SCP-CN-2255圆心处时，其异常效应将立即消失。未在圆心处获取任何有价值的信息。

一条被发现于SCP-CN-2255内部的白鲟（Psephurus gladius）个体，体长约2.7m，拍摄于早上6时12分。约20分钟后，SCP-CN-2255异常效应消失，该个体立即转变为一团普通的废弃渔网。

在异常效应显现期间，SCP-CN-2255区域内的水质与水中生态环境均优于同河段的其它位置，且可以观测到数目远超区域外的各种栖息于长江中下游流域的水生动物，包括长江鲥鱼（Tenualosa reevesii）、白鲟（Psephurus gladius）、中华鲟（Acipenser sinensis）、白鱀豚（Lipotes vexillifer）和江豚（Neophocaena asiaeorientalis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体在",c,此,,呈|侧|次|纯|成|从|常|草|船|超
da-v2-condition-e58bfbc51f8f27991540a692,da-v2-anchor-001c807068a7cd1a5ef1e026,Re_spectators,da-work-1310969119,initial_multi3,"成像结果表明SCP-CN-2255的中心可能为一只水生生物。然而，当任何探测器靠近SCP-CN-2255圆心处时，其异常效应将立即消失。未在圆心处获取任何有价值的信息。

一条被发现于SCP-CN-2255内部的白鲟（Psephurus gladius）个体，体长约2.7m，拍摄于早上6时12分。约20分钟后，SCP-CN-2255异常效应消失，该个体立即转变为一团普通的废弃渔网。

在异常效应显现期间，SCP-CN-2255区域内的水质与水中生态环境均优于同河段的其它位置，且可以观测到数目远超区域外的各种栖息于长江中下游流域的水生动物，包括长江鲥鱼（Tenualosa reevesii）、白鲟（Psephurus gladius）、中华鲟（Acipenser sinensis）、白鱀豚（Lipotes vexillifer）和江豚（Neophocaena asiaeorientalis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体在",c q y n,此区域内,,潮起于南|潮起于暖|充气鸭能|常栖于南|长期以南|侧栖于南|潮起于年|餐企业能|长期已能|长期与南
da-v2-condition-56ac7728da41f94b31845b0d,da-v2-anchor-0022f2df795206de4a2c7265,Re_spectators,da-work-1312342920,initial_short,"个踌躇不前的状态吧。
其实说到这的时候我突然意识到这个点子其实和SCP-3034有点像。3034应该可以说是我从一开始到现在都非常喜欢的一篇文档，它所描绘的“倒数站的异常”就是那种吸引到我的纯粹的“诡谲怪东西”。我想当年“断手”这个点子其实某种程度上是我在试图复刻这种感觉吧。

这一点有点像是一个很普遍的想法，也就是“异常应该不讲道理”。所以这篇其实大抵也是这个思路？

是的。或许应该说“异常讲它自己的道理”，基金会就是在试图理解它的那个道理是什么，有时能理解，有时不能理解就只能跟着它走。我还挺喜欢这种方向的创作的。

SCP-CN-1024：再无流传

第二篇作品就参加了CN1000竞赛呢。当时是怎么决定要参加的？

就是凑热闹嘛，还能是什么原因嘛（

所以说也是看到就参加了，确实够大胆的（笑
换做是我的话应该还是会选择默默吃瓜（

反正一开始就没想着拿什么名次，试试就试试，又不会逝世（

你当初是怎么理解“流传”这个题目的？不得不说在我看来这篇扣题扣得还是挺不错的。

其实就是很字面的理解，故事的流传。我还挺看重扣题的，所以可以的话，命题竞赛我都会尽可能地从题目的字面义上去思考，所以最后就这么想出来了一个",y g,有关,,应该|一个|硬杠|一贯|预感|应干|预估|也干|预告|也给
da-v2-condition-9aa1f85b09d82adaa47c8b7e,da-v2-anchor-0022f2df795206de4a2c7265,Re_spectators,da-work-1312342920,initial_multi3,"个踌躇不前的状态吧。
其实说到这的时候我突然意识到这个点子其实和SCP-3034有点像。3034应该可以说是我从一开始到现在都非常喜欢的一篇文档，它所描绘的“倒数站的异常”就是那种吸引到我的纯粹的“诡谲怪东西”。我想当年“断手”这个点子其实某种程度上是我在试图复刻这种感觉吧。

这一点有点像是一个很普遍的想法，也就是“异常应该不讲道理”。所以这篇其实大抵也是这个思路？

是的。或许应该说“异常讲它自己的道理”，基金会就是在试图理解它的那个道理是什么，有时能理解，有时不能理解就只能跟着它走。我还挺喜欢这种方向的创作的。

SCP-CN-1024：再无流传

第二篇作品就参加了CN1000竞赛呢。当时是怎么决定要参加的？

就是凑热闹嘛，还能是什么原因嘛（

所以说也是看到就参加了，确实够大胆的（笑
换做是我的话应该还是会选择默默吃瓜（

反正一开始就没想着拿什么名次，试试就试试，又不会逝世（

你当初是怎么理解“流传”这个题目的？不得不说在我看来这篇扣题扣得还是挺不错的。

其实就是很字面的理解，故事的流传。我还挺看重扣题的，所以可以的话，命题竞赛我都会尽可能地从题目的字面义上去思考，所以最后就这么想出来了一个",y g l c d,有关流传的,,应该立场的|应该两次的|应该了冲的|一个烂菜的|应该两场的|应该了才对|应该留存的|应该啦吹的|应该啦冲的|应该啦擦的
da-v2-condition-fe79c9b5b4f25beda8468db3,da-v2-anchor-002e79e68ebc9e1dfb05609d,Re_spectators,da-work-1310969119,initial_multi3,康德成像仪记录下的一次SCP-CN-2255显现事件，受影响范围直径约220m。可见休谟指数自SCP-CN-2255边缘,z z x d,至中心的,,至中心点|正中心点|最中心点|正中心的|正中心到|正在行动|组织下的|最中心到|最中心的|制造新的
da-v2-condition-eab577b96185468e2c42898c,da-v2-anchor-008bf425f037b2a4bcfb3b32,Re_spectators,da-work-1310969119,full_multi3,"康德成像仪记录下的一次SCP-CN-2255显现事件，受影响范围直径约220m。可见休谟指数自SCP-CN-2255边缘至中心的逐渐降低。

项目编号：SCP-CN-2255
项目等级：Euclid Neutralized
特殊收容措施（已归档）：目前正使用搭载于气象卫星上的康德成像仪跟踪SCP-CN-2255的移动情况。由于SCP-CN-2255的本质目前仍不明确，基金会将持续监测长江下游各水域的生态情况，并密切关注各地对“于夜间观测到稀有物种”相关事件的报告。
关于SCP-CN-2255的调查仍在持续进行中。
描述（已归档）：SCP-CN-2255是一种出现于中国境内长江中下游流域的异常现象，主要出现于于长江的安徽-江苏段，于1990年被初次发现。项目主要表现为一片在此范围内不规律移动的圆柱形空间异常，半径约为80~120m。在此异常范围内可观测到休谟指数的略微下降，且休谟指数沿圆柱形区域自外而内逐次降低（中心区域休谟指数约为85）。
SCP-CN-2255",ji hu zhi yu ye jian,几乎只于夜间,,几乎止于夜间|几乎之于夜间|几乎旨于夜间|几乎止于也间|几乎止于叶渐|几乎止于也渐|几乎止于曳渐|几乎止于射箭|几乎止于咽间|几乎止于夜渐
da-v2-condition-82691557e41cae84247ce8c0,da-v2-anchor-008bf425f037b2a4bcfb3b32,Re_spectators,da-work-1310969119,initial_multi3,"康德成像仪记录下的一次SCP-CN-2255显现事件，受影响范围直径约220m。可见休谟指数自SCP-CN-2255边缘至中心的逐渐降低。

项目编号：SCP-CN-2255
项目等级：Euclid Neutralized
特殊收容措施（已归档）：目前正使用搭载于气象卫星上的康德成像仪跟踪SCP-CN-2255的移动情况。由于SCP-CN-2255的本质目前仍不明确，基金会将持续监测长江下游各水域的生态情况，并密切关注各地对“于夜间观测到稀有物种”相关事件的报告。
关于SCP-CN-2255的调查仍在持续进行中。
描述（已归档）：SCP-CN-2255是一种出现于中国境内长江中下游流域的异常现象，主要出现于于长江的安徽-江苏段，于1990年被初次发现。项目主要表现为一片在此范围内不规律移动的圆柱形空间异常，半径约为80~120m。在此异常范围内可观测到休谟指数的略微下降，且休谟指数沿圆柱形区域自外而内逐次降低（中心区域休谟指数约为85）。
SCP-CN-2255",j h z y y j,几乎只于夜间,,江淮洲与沿江|江淮之眼已经|江淮中央一级|江淮洲与一级|江淮之遥远距|江淮之源于即|江淮之源于江|江淮之源于近|江淮之眼已较|江淮之源于间
da-v2-condition-165b1a7343a8093f14c8860f,da-v2-anchor-018ceeac307e76c4767f6431,Re_spectators,da-work-1312342920,initial_multi3,"已经结束了”这个想法也是贯彻到了。
还有，请采访人不要硬cue混沌理论（

草，我不是我没有，这一定是作者之间的心灵感应（不是
好吧认真地说，你自己对这篇满意程度如何？

不过不失吧，这是我当时能够给出的比较好的作品，它做到了我想做到的效果。当下的我再回头看这个点子，我其实也没有特别多想要动刀的地方。而当时我不过是个写过一篇蛮差的原创的成员，最后能够拿到这个成绩我是很心满意足的。

最后为什么选择了1024这个编号？看评论区你说自己有一些特别的理由？

这个是秘密（
但原因其实真的非常非常非常简单，简单到其实不能说是秘密，我敢打赌你现在就能找出来。但是这个问题就留给诸位自己去想啦~1

SCP-CN-1045：流奶与蜜之地

能讲讲这篇的灵感来源吗？

灵感来源的话跟之前一样的，几乎无法解释。我有时就会想一些有画面感的东西，一开始就是脑海里蹦出来了故事结局的那个场景。当然细节在之后的构思是有变化的，但我基本上就是为了那个醋而包了这盘饺子。后来一个插入进来的元素就是圣经旧约中所提到的“流奶与蜜之地”，倒也没有什么特别的原因，我一开始纯粹就是很喜欢这几个字带给我的感觉。
我自己个人本身就对宗教很感兴趣，平常也会看",y x z j d,一些宗教的,,一下自己的|一下直接的|一下自己但|一下总结的|一下主角的|一下子绝对|一下自己对|一些自己的|一下直觉的|一下直觉得
da-v2-condition-a1c0faa7e0a46853db542063,da-v2-anchor-01a12eea5821ae26f6cd52fb,Re_spectators,da-work-1312342920,initial_multi3,"我多少也是想要复刻这种情感爆炸的场面（虽然不知道成功了没有）。这一段最后的结果其实是出乎我意料的，甚至可以说，最终成品的这一章节其实是有影响到结局的安排的。
至于灵感来源，其实说不上，就是觉得这样很带感（笑

那为什么会想到把场景放在月球上？或者说，在这里看着地球这个画面有什么深意吗（

倒不是非得在月球上，但是确实不能在地球上。要说这个的话那就得提到这篇文档里我预设的最核心的谜题了：仪式所需要遵循的那一个固定的主题。

一直在避免提到主题呢（笑
不过其实现在也没什么好遮掩的了，毕竟都解密过了.jpg

那实际上，还是不大一样的嘛~

所以如果看原文表述的话，整个仪式预设的主题也就是否认“意义”了。

我所预设的主题其实是[地西泮协议已编辑]。确实在行文的时候我也有思考过，这样其实还称不称得上是[地西泮协议已编辑]，但总体来说，要体现的其实也是那种巨大的虚无感，也就达到了“对抗”的意味。

必须得说这一点其实也是我看到评论之后才想到的，我一开始的想法反而是觉得这里的仪式人文关怀的味道更浓一点（

[地西泮协议已编辑]这种解读我也觉得非常有意思，我很喜欢。

好的！最后一个问题，观众提问时间。这篇文又是一篇关于",y s d w,仪式的文,,仪式但我|严肃的我|也是的我|严肃点我|严肃的文|仪式的我|疑似的我|于是的我|也算的我|严肃的未
da-v2-condition-0afe88f4ea33461d0255bd77,da-v2-anchor-01a6448a7276819e31f72627,Re_spectators,da-work-1310969119,initial_short,"alis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体在此区域内被重复观测到，被观测时通常正与其它个体一同嬉戏或觅食，偶尔会跃出水面。
当离开SCP-CN-2255范围或SCP-CN-2255的异常效应中止时，在异常效应显现后出现于SCP-CN-2255内部的生物将直接消失，或变为水草、普通水生生物或水中垃圾等。同时，在SCP-CN-2255异常效应中止后，其范围内的水质将回归至与同一河段相同的水平。
更新于2004/9/19：SCP-CN-2255于2004年7月12日晚间于长江南京段最后一次被观测到。康德成像仪监测结果显示SCP-CN-2255的半径逐渐缩小，最终消失于此地的滩涂上。
次日，一只搁浅的成年雌性白鱀豚3尸体于SCP-CN-2255最后出现位置的圆心处被发现，其左侧腹鳍上有暗色胎记。被发现时尸体拥有较周围环境略低的休谟指数（99.12），但在被发现的数分钟后迅速回归正常水平。该白鱀豚尸体未在之后表现出任何其他异常效应；",j p,解剖,,较平|即便|橘皮|即被|较偏|麂皮|礁盘|极品|交配|仅凭
