interaction_id,work_id,work_title,source_start_offset,source_end_offset,source_original_target,source_original_processed_file,context,target,generated_pinyin,pinyin_syllables,polyphonic_flag,candidates,target_rank,pinyin_judgement,notes
2a6272831b50601864e2d87d,qinhuai_river,槳聲燈影裏的秦淮河,3715,3717,似乎,qinhuai_river.txt,德律的压迫拒绝了她们心里,似乎,sihu,si hu,true,1:似乎 | 2:四户 | 3:四湖 | 4:四胡 | 5:四呼 | 6:四壶 | 7:似虎 | 8:司户 | 9:死 | 10:四,1,correct,生成读音与该词在当前语境中的读音一致。
e682a43b442742d5cf3078df,spring,春,569,571,草屋,spring.txt,农夫披着蓑戴着笠的他们的,草屋,caowu,cao wu,true,1:草屋 | 2:草乌 | 3:草 | 4:操 | 5:曹 | 6:槽 | 7:艹 | 8:糙 | 9:肏 | 10:漕,1,correct,生成读音与该词在当前语境中的读音一致。
b401be2ba9bced83ad8bb8ec,to_my_late_wife,給亡婦,357,359,連覺,to_my_late_wife.txt,天儿忙著汤呀药呀冷呀暖呀,连觉,lianjue,lian jue,true,1:联觉 | 2:链锯 | 3:联句 | 4:炼句 | 5:连句 | 6:连 | 7:练 | 8:脸 | 9:联 | 10:链,,correct,生成读音与该词在当前语境中的读音一致。
87fcea0e653ad3cca9f073e2,qinhuai_river,槳聲燈影裏的秦淮河,1693,1695,但是,qinhuai_river.txt,成桥的脊在十三四岁的时候,但是,danshi,dan shi,true,1:但是 | 2:单是 | 3:胆识 | 4:胆石 | 5:单式 | 6:但使 | 7:啖噬 | 8:啖食 | 9:耽视 | 10:但,1,correct,生成读音与该词在当前语境中的读音一致。
4f8d6169f21654db692ce457,qinhuai_river,槳聲燈影裏的秦淮河,2929,2931,正是,qinhuai_river.txt,这正是天之所以厚秦淮河也,正是,zhengshi,zheng shi,true,1:正是 | 2:正式 | 3:证实 | 4:正视 | 5:正史 | 6:正事 | 7:政事 | 8:正时 | 9:正室 | 10:整式,1,correct,生成读音与该词在当前语境中的读音一致。
02ccc6b409702095618e22ea,spring,春,566,568,他們,spring.txt,工作的农夫披着蓑戴着笠的,他们,tamen,ta men,true,1:他们 | 2:它们 | 3:她们 | 4:牠们 | 5:塔门 | 6:他懑 | 7:他 | 8:她 | 9:它 | 10:塔,1,correct,生成读音与该词在当前语境中的读音一致。
f5ba37fb41aaecb08d591fe2,ahe,阿河,804,807,人土些,ahe.txt,字叫阿河我说名字很好只是,人土些,rentuxie,ren tu xie,true,1:人吐血 | 2:人 | 3:任 | 4:忍 | 5:认 | 6:仁 | 7:刃 | 8:韧 | 9:恁 | 10:壬,,correct,生成读音与该词在当前语境中的读音一致。
3d8dd00a49f205db3826d6e9,ahe,阿河,3391,3393,越大,ahe.txt,唉现在的人心眼儿真是越过,越大,yueda,yue da,true,1:越大 | 2:约达 | 3:月 | 4:越 | 5:约 | 6:余额 | 7:曰 | 8:岳 | 9:悦 | 10:粤,1,correct,生成读音与该词在当前语境中的读音一致。
4900bfe00df6635f6375d18d,ahe,阿河,4432,4434,不肯,ahe.txt,男人已死了心不想她回去只,不肯,buken,bu ken,true,1:不肯 | 2:不 | 3:部 | 4:补 | 5:布 | 6:步 | 7:卜 | 8:捕 | 9:簿 | 10:埠,1,correct,生成读音与该词在当前语境中的读音一致。
818451e3b0ac5189d1c174d7,spring,春,206,208,已經,spring.txt,里带着甜味闭了眼树上仿佛,已经,yijing,yi jing,true,1:已经 | 2:意境 | 3:一经 | 4:一惊 | 5:易经 | 6:遗精 | 7:一径 | 8:译经 | 9:义净 | 10:亦经,1,correct,生成读音与该词在当前语境中的读音一致。
2396e51e7180c14e26957265,to_my_late_wife,給亡婦,301,304,一會兒,to_my_late_wife.txt,就行你总是忍不住一会儿提,一会儿,yihuier,yi hui er,true,1:一会儿 | 2:一会 | 3:一回 | 4:议会 | 5:一挥 | 6:亦会 | 7:意会 | 8:移回 | 9:已回 | 10:一辉,1,correct,生成读音与该词在当前语境中的读音一致。
fd0e3e0e8b49199f630f536b,to_my_late_wife,給亡婦,802,806,積穀防饑,to_my_late_wife.txt,小的也不想到什么养儿防老,积谷防饥,jigufangji,ji gu fang ji,true,1:积谷防饥 | 2:击鼓 | 3:脊骨 | 4:鸡骨 | 5:几股 | 6:肌骨 | 7:叽咕 | 8:稽古 | 9:积谷 | 10:唧咕,1,correct,生成读音与该词在当前语境中的读音一致。
