author,work,original_excerpt,simplified_excerpt,changed_character_count,conversion_ok,notes
Agent Phage,在你读到这里时，我已经达到我的目标了,"正在进行信息读取……
读取完成，关闭冗余进程中……
您好，欢迎查看文件R-60937，文件框架下有5个附录文档。请选择您要查看的文档。
确认5个文档。将按照默认时间顺序从后往前展示，按任意键继续。
附录文档5：

主管？
主管你看的见吗？
我是真的第一次使用如此强大的功能，因此我不知道这段话会显示在你思维的哪个角落，甚至不知道它会不会出现。但是如果你看见了这段对话，那么请你注意。
在你读到这里时，我已经达到我的目标了。
请不要激动，这样对身体不好。您现在只是在一场无伤大雅的车","正在进行信息读取……
读取完成，关闭冗余进程中……
您好，欢迎查看文件R-60937，文件框架下有5个附录文档。请选择您要查看的文档。
确认5个文档。将按照默认时间顺序从后往前展示，按任意键继续。
附录文档5：

主管？
主管你看的见吗？
我是真的第一次使用如此强大的功能，因此我不知道这段话会显示在你思维的哪个角落，甚至不知道它会不会出现。但是如果你看见了这段对话，那么请你注意。
在你读到这里时，我已经达到我的目标了。
请不要激动，这样对身体不好。您现在只是在一场无伤大雅的车",0,,
QBLevi,在你读到这里时，我已经退场了,"激战已渐入尾声。
最初的交锋非常惨烈。在这个迷宫般的地下设施中，敌人逐间逐间地持续着抵抗，多次打退我们的突击。双方的阵亡者足以堆积成山。
然后情形急转直上。我们有着来自其他地区的源源不绝的援兵，而他们却是愈战愈少。雪崩式溃退随之而来。
我们迅速地占领了一个房间，然后是下一个，然后是再下一个。
桌面上的一张便签纸吸引了我的注意。在这个千疮百孔的房间里，它奇迹般地躲过了所有扫射而幸存了下来。
我走到桌前拿起了它。墨迹未干，显然是新近写就的。所用的语言是已知的，我便朗读了起来。
","激战已渐入尾声。
最初的交锋非常惨烈。在这个迷宫般的地下设施中，敌人逐间逐间地持续着抵抗，多次打退我们的突击。双方的阵亡者足以堆积成山。
然后情形急转直上。我们有着来自其他地区的源源不绝的援兵，而他们却是愈战愈少。雪崩式溃退随之而来。
我们迅速地占领了一个房间，然后是下一个，然后是再下一个。
桌面上的一张便签纸吸引了我的注意。在这个千疮百孔的房间里，它奇迹般地躲过了所有扫射而幸存了下来。
我走到桌前拿起了它。墨迹未干，显然是新近写就的。所用的语言是已知的，我便朗读了起来。
",0,,
Agent Phage,人民管理制度,"项目编号：SCP-CN-132
项目等级：Safe
特殊收容措施：基金会前台组织已将SCP-CN-132以及周围建筑转入基金会控制下。SCP-CN-132四周应设有围墙与外界隔离，并设置监控点以防止平民闯入。所有未授权进入人员将被拘留、询问、记录并在A级记忆消除后释放。
所有对SCP-CN-132的实验必须由1名该项目3级人员与伦理道德委员会同时批准才可进行。进入SCP-CN-132的女性应佩戴嘴部遮盖物品。除实验要求外，严禁任何女性食用SCP-CN-132-B内的任何食物。","项目编号：SCP-CN-132
项目等级：Safe
特殊收容措施：基金会前台组织已将SCP-CN-132以及周围建筑转入基金会控制下。SCP-CN-132四周应设有围墙与外界隔离，并设置监控点以防止平民闯入。所有未授权进入人员将被拘留、询问、记录并在A级记忆消除后释放。
所有对SCP-CN-132的实验必须由1名该项目3级人员与伦理道德委员会同时批准才可进行。进入SCP-CN-132的女性应佩戴嘴部遮盖物品。除实验要求外，严禁任何女性食用SCP-CN-132-B内的任何食物。",0,,
Agent Phage,召回,"火，从我的手中蹿出，从我的口中蹿出，从我的心中蹿出。它温柔的抚摸我冰冷的肌肤，它坚定的刺穿我僵硬的筋骨，它无情的拆分我死去的躯干。但火从来都是正确的、慷慨的起航之灯，它又一次赋予了我神智。当我被它撕裂成灰的时候，也赋予了我生的力量。
当我再次感受这个世界时，年迈老母亲的哭喊直入心房。在我被装进小盒子里时，我感受到了妈妈温暖的手掌。我从未发觉自己对母亲如此重要。当她在哭泣与昏厥徘徊，却始终坚持的呼喊着我的名字时，我撼动了回家的希望，只想一辈子守护在母亲的身旁。
但是，我不能。","火，从我的手中蹿出，从我的口中蹿出，从我的心中蹿出。它温柔的抚摸我冰冷的肌肤，它坚定的刺穿我僵硬的筋骨，它无情的拆分我死去的躯干。但火从来都是正确的、慷慨的起航之灯，它又一次赋予了我神智。当我被它撕裂成灰的时候，也赋予了我生的力量。
当我再次感受这个世界时，年迈老母亲的哭喊直入心房。在我被装进小盒子里时，我感受到了妈妈温暖的手掌。我从未发觉自己对母亲如此重要。当她在哭泣与昏厥徘徊，却始终坚持的呼喊着我的名字时，我撼动了回家的希望，只想一辈子守护在母亲的身旁。
但是，我不能。",0,,
Agent Phage,唯一,"裂痕从中心开始蔓延，生长，渐渐爬满整个残缺的镜面。随后一片片晶莹的镜片崩裂开来，映射着空中的尘埃与血丝，自由的划过一道道尾迹。他们划过空气，划过喧嚣，划出那一道道飘扬的血丝。如流星般，坠入两人刚强的身躯。
一个身躯在这血幕下，收回了他打在镜子上的右手，挺出左手格挡对方的出击。右手顺势向弯曲的大腿上伸，拔出扎在腿上的一大块碎镜片，向对方挥去。不料，对方一个扫腿，他整个身子便侧翻在地，手上的镜片只划破了对方胸前的基金会标志。他心头一紧，知道自己在爬起之前一定会被再次攻击。至于这将","裂痕从中心开始蔓延，生长，渐渐爬满整个残缺的镜面。随后一片片晶莹的镜片崩裂开来，映射着空中的尘埃与血丝，自由的划过一道道尾迹。他们划过空气，划过喧嚣，划出那一道道飘扬的血丝。如流星般，坠入两人刚强的身躯。
一个身躯在这血幕下，收回了他打在镜子上的右手，挺出左手格挡对方的出击。右手顺势向弯曲的大腿上伸，拔出扎在腿上的一大块碎镜片，向对方挥去。不料，对方一个扫腿，他整个身子便侧翻在地，手上的镜片只划破了对方胸前的基金会标志。他心头一紧，知道自己在爬起之前一定会被再次攻击。至于这将",0,,
Agent Phage,未铭记，何谈淡忘,"2036年1月25日
是时候从过年的浑浑噩噩中清醒过来了！记住了，表现好一点，明！天！面！试！开始工作后一定能把我那莫名其妙的空虚感补回来的。
今天也是充实啊，毕竟最后一天“自由日”了，抓紧时间浪哈。市里面恰巧新开了一家水族馆，我可把里面转了个遍。那些神奇的海洋生物永远是我最好的朋友，总能让我想起小时候作为一个大海盗周游奇异世界，勇斗邪恶势力的奇思妙想，嘻嘻。
除了那些鲨鱼。真的，特别奇怪，看着那些鲨鱼，我居然想起了我学生年代为考试而奋战的样子。而且我明明很喜欢鲨鱼的，但这次","2036年1月25日
是时候从过年的浑浑噩噩中清醒过来了！记住了，表现好一点，明！天！面！试！开始工作后一定能把我那莫名其妙的空虚感补回来的。
今天也是充实啊，毕竟最后一天“自由日”了，抓紧时间浪哈。市里面恰巧新开了一家水族馆，我可把里面转了个遍。那些神奇的海洋生物永远是我最好的朋友，总能让我想起小时候作为一个大海盗周游奇异世界，勇斗邪恶势力的奇思妙想，嘻嘻。
除了那些鲨鱼。真的，特别奇怪，看着那些鲨鱼，我居然想起了我学生年代为考试而奋战的样子。而且我明明很喜欢鲨鱼的，但这次",0,,
QBLevi,编年史正本,"项目编号： SCP-CN-141
项目等级： Safe Euclid
特殊收容措施： SCP-CN-141被按照夏杼-6程序严密看守。在事故CN-141-1之后，禁止继续研究项目本体，可申请影像和译文版本。
描述： 项目位于长白山脉中一处人工开凿的山体洞窟中，洞窟面积约有1600平方米。其中树立有166块未知硬质材料制成的方形碑，每块高约3.6米，宽约1.6米，厚约0.6米。165块立碑排列成8*21的方阵，距离入口最远的一行不全。另有1块单独树立于距离入口最近的一行的中心位","项目编号： SCP-CN-141
项目等级： Safe Euclid
特殊收容措施： SCP-CN-141被按照夏杼-6程序严密看守。在事故CN-141-1之后，禁止继续研究项目本体，可申请影像和译文版本。
描述： 项目位于长白山脉中一处人工开凿的山体洞窟中，洞窟面积约有1600平方米。其中树立有166块未知硬质材料制成的方形碑，每块高约3.6米，宽约1.6米，厚约0.6米。165块立碑排列成8*21的方阵，距离入口最远的一行不全。另有1块单独树立于距离入口最近的一行的中心位",0,,
QBLevi,天籁,"项目编号： SCP-CN-444
项目等级： Safe
特殊收容措施： SCP-CN-444需按照信息封锁通用程序处理。唯一的数据拷贝存储在本文档附录二中。
描述： SCP-CN-444由算法和乐谱两部分组成，分别编号为-1和-2。SCP-CN-444-1是一套数学运算算法，能够将一段时间内接收到的宇宙微波背景辐射转化为同等长度的乐谱。SCP-CN-444-2是一段由此而生的乐谱。
当乐谱被演奏、或其录音被播放时，所有能够清楚地听到旋律的人（如果实时演奏的话，包括奏者）将出现","项目编号： SCP-CN-444
项目等级： Safe
特殊收容措施： SCP-CN-444需按照信息封锁通用程序处理。唯一的数据拷贝存储在本文档附录二中。
描述： SCP-CN-444由算法和乐谱两部分组成，分别编号为-1和-2。SCP-CN-444-1是一套数学运算算法，能够将一段时间内接收到的宇宙微波背景辐射转化为同等长度的乐谱。SCP-CN-444-2是一段由此而生的乐谱。
当乐谱被演奏、或其录音被播放时，所有能够清楚地听到旋律的人（如果实时演奏的话，包括奏者）将出现",0,,
MScarlet,2014年的新春之時,"2014年的新春之時:NIENTE

烟花散尽，有的人在欢庆，有的在做投机生意，有的在将他们心中笃信的伟大事业付诸行动，有的在为热爱之物四处奔波彻夜无眠，有的人只是一边点着加班费一边默默吐槽着这个世界。
但那些是我们曾亲自选择的路，或许连带着一个信仰。
「嗯?小諾你又在寫日記阿?」金瞳白膚的HD手持一份文件自「迷宮」中走出，坐在小諾旁邊那光線充足的位置。
「嗯。」筆記本屏幕中出現一個小字，是小諾以文字作出的回應。
陽光之下，只聽見啪達啪達的聲音－那是小諾的觸手在鍵盤飛舞的聲音","2014年的新春之时:NIENTE

烟花散尽，有的人在欢庆，有的在做投机生意，有的在将他们心中笃信的伟大事业付诸行动，有的在为热爱之物四处奔波彻夜无眠，有的人只是一边点着加班费一边默默吐槽着这个世界。
但那些是我们曾亲自选择的路，或许连带着一个信仰。
「嗯?小诺你又在写日记阿?」金瞳白肤的HD手持一份文件自「迷宫」中走出，坐在小诺旁边那光线充足的位置。
「嗯。」笔记本屏幕中出现一个小字，是小诺以文字作出的回应。
阳光之下，只听见啪达啪达的声音－那是小诺的触手在键盘飞舞的声音",979,,
MScarlet,真正的遺產,"「Alpha…滋滋…報告總部，我們進入了滋滋主翼區了。」
「總部收到。Alpha，你們那邊傳來的通信很模糊，檢查你們的通信儀器。」
「遵命…滋滋滋滋滋通信耳飾運作良滋好，中轉石無故障。懷疑是有東西干擾了滋滋滋滋滋滋滋滋。」
「Alpha？Alpha？我們這邊幾乎收不到你們的通信，給中轉石接上通信導線，重複，給中轉石接上通信導線。」
「滋滋Alpha收到，正在滋滋滋滋。嗶嗶回報總部，已接上對外通信導線，干擾已排除。」
「很好，繼續探索主翼區，他們最重要的東西應該都在這了。」
「","「Alpha…滋滋…报告总部，我们进入了滋滋主翼区了。」
「总部收到。Alpha，你们那边传来的通信很模糊，检查你们的通信仪器。」
「遵命…滋滋滋滋滋通信耳饰运作良滋好，中转石无故障。怀疑是有东西干扰了滋滋滋滋滋滋滋滋。」
「Alpha？Alpha？我们这边几乎收不到你们的通信，给中转石接上通信导线，重复，给中转石接上通信导线。」
「滋滋Alpha收到，正在滋滋滋滋。哔哔回报总部，已接上对外通信导线，干扰已排除。」
「很好，继续探索主翼区，他们最重要的东西应该都在这了。」
「",2316,,
