work_id,token_index,text,reason
da-work-789981763,4070,𠀤,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2441,造攻𤠆土肆,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2442,𤠆,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2447,𤠆,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2660,跣我𥛠主,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2661,我𥛠主,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2662,𥛠,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2891,匄旬㞢三日,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2892,旬㞢三日,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2893,㞢,Chinese-character/Pinyin-syllable alignment failure
da-work-858456111,2904,𤔌,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1900,齹侵釦烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1901,侵釦烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1902,釦烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1024229829,1903,烪,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,228,谁楬枯𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,229,楬枯𫄳𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,230,枯𫄳𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,231,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,232,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,1353,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1165120332,1354,𫄳,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1738,拂林园乌梨师𣫍,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1739,林园乌梨师𣫍城中,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1740,乌梨师𣫍城中,Chinese-character/Pinyin-syllable alignment failure
da-work-1306311171,1741,𣫍,Chinese-character/Pinyin-syllable alignment failure
